,reaction,direction,source,coenzyme,equation,reactants,products,reactant_gen,product_gen,generation,ec_list
6332,R07876,forward,KEGG,,C08725 + C00323 => C12640 + C00010,C08725 + C00323,C12640 + C00010,69.0,69.0,69.0,
6331,R07875,reverse,KEGG,,C12640 + C00015 => C16297 + C00029,C12640 + C00015,C16297 + C00029,69.0,69.0,69.0,
6339,R07882,forward,KEGG,,C08639 + C00223 => C16350 + C00010,C08639 + C00223,C16350 + C00010,69.0,70.0,69.5,
6122,R07505,forward,KEGG,,2C00999 + 2C00080 + C15777 + C00007 => 2C00996 + 2C00001 + C15778,2C00999 + 2C00080 + C15777 + C00007,2C00996 + 2C00001 + C15778,69.0,70.0,69.5,
6124,R07507_v1,forward,KEGG (Modified),FAD,C05107 + C00005 + C00080 + Z00013 => C01164 + C00006 + Z00013,C05107 + C00005 + C00080 + Z00013,C01164 + C00006 + Z00013,69.0,70.0,69.5,
5026,R05471,forward,KEGG,,C06661 + C00005 + C00080 => C06662 + C00006,C06661 + C00005 + C00080,C06662 + C00006,69.0,70.0,69.5,
5047,R05519,forward,KEGG,,C01912 + C00007 => C06634 + C00001,C01912 + C00007,C06634 + C00001,69.0,70.0,69.5,
9840,R12400,reverse,KEGG,,C15777 + C00006 => C22122 + C00005 + C00080,C15777 + C00006,C22122 + C00005 + C00080,69.0,70.0,69.5,
6337,R07880,forward,KEGG,,C08725 + C00223 => C16349 + C00010,C08725 + C00223,C16349 + C00010,69.0,70.0,69.5,
9839,R12399,forward,KEGG,,C22121 + C00005 + C00080 => C02141 + C00006,C22121 + C00005 + C00080,C02141 + C00006,69.0,70.0,69.5,
6379,R07931,forward,KEGG,,C08639 + C00323 => C16372 + C00010,C08639 + C00323,C16372 + C00010,69.0,70.0,69.5,
6378,R07930,forward,KEGG,,C08725 + C00323 => C16371 + C00010,C08725 + C00323,C16371 + C00010,69.0,70.0,69.5,
6341,R07884,forward,KEGG,,C12642 + C00083 => C16288 + C00010,C12642 + C00083,C16288 + C00010,69.0,70.0,69.5,
9010,R11346_v1,forward,KEGG (Modified),FAD,C21295 + C00004 + C00007 + Z00013 => C01748 + C00003 + C00011 + C00001 + Z00013,C21295 + C00004 + C00007 + Z00013,C01748 + C00003 + C00011 + C00001 + Z00013,69.0,70.0,69.5,
5377,R06194,forward,KEGG,,C05915 => C05916,C05915,C05916,69.0,70.0,69.5,
6985,R08819,forward,KEGG,,C08537 + C17759 => C08542 + C00031,C08537 + C17759,C08542 + C00031,69.0,70.0,69.5,
8250,R10405,forward,KEGG,,C20536 => C20586,C20536,C20586,69.0,70.0,69.5,
8219,R10376,forward,KEGG,,4C00005 + 4C00007 + 4C00080 + C20536 => 4C00006 + 5C00001 + C20542 + C00058,4C00005 + 4C00007 + 4C00080 + C20536,4C00006 + 5C00001 + C20542 + C00058,69.0,70.0,69.5,
8160,R10293,forward,KEGG,,C20489 + C00029 => C20492 + C00015,C20489 + C00029,C20492 + C00015,69.0,70.0,69.5,
8032,R10155_v1,forward,KEGG (Modified),FAD,C20400 + C00005 + C00080 + C00007 + Z00013 => C20402 + C00006 + C00001 + Z00013,C20400 + C00005 + C00080 + C00007 + Z00013,C20402 + C00006 + C00001 + Z00013,69.0,70.0,69.5,
8031,R10154_v1,forward,KEGG (Modified),FAD,C20400 + C00005 + C00080 + C00007 + Z00013 => C20399 + C00006 + C00001 + Z00013,C20400 + C00005 + C00080 + C00007 + Z00013,C20399 + C00006 + C00001 + Z00013,69.0,70.0,69.5,
